Year,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2012,12,Los Angeles Clippers,1-1,0-1,1-0,0-1,0-1,2-1,3-1,1-0,2-2,3-0,0-1,,1-2,2-1,1-0,1-0,1-3,1-1,2-1,0-1,3-1,1-0,1-0,1-3,3-1,3-0,1-2,1-0,2-1,2-0
2012,13,Los Angeles Lakers,1-0,2-0,1-0,0-1,1-0,4-0,3-1,0-1,4-0,1-2,0-1,2-1,,2-1,1-1,0-1,4-0,1-0,3-0,1-1,1-2,0-1,0-1,2-2,2-1,1-2,1-2,1-0,2-2,0-1
2012,14,Memphis Grizzlies,1-0,0-1,1-0,1-1,1-0,2-1,3-0,2-0,4-0,2-2,1-0,1-2,1-2,,1-0,1-0,4-0,1-0,3-1,1-0,1-3,1-0,1-0,1-2,1-2,2-1,0-4,1-1,1-2,1-0
2012,15,Miami Heat,3-1,1-3,3-0,2-2,3-0,2-0,0-1,3-0,0-1,1-0,3-1,0-1,1-1,0-1,,1-2,1-0,3-0,1-0,3-0,1-1,2-2,4-0,1-0,1-0,1-0,1-0,3-0,0-1,1-2
2012,16,Milwaukee Bucks,1-2,0-3,2-1,0-4,4-0,0-1,0-2,3-1,1-0,1-0,0-3,0-1,1-0,0-1,2-1,,1-0,3-0,0-1,2-2,0-1,0-4,1-2,0-2,2-0,0-1,1-0,3-0,0-1,3-1
2012,17,Minnesota Timberwolves,0-1,0-1,2-0,0-1,0-1,2-1,1-3,2-0,1-2,3-1,0-2,3-1,0-4,0-4,0-1,0-1,,1-0,1-2,0-1,0-3,0-1,1-0,1-2,2-1,2-2,2-1,0-1,1-2,1-0
2012,18,New Jersey Nets,0-4,0-3,4-0,1-2,2-2,1-0,0-1,1-2,2-0,0-1,1-3,1-1,0-1,0-1,0-3,0-3,0-1,,0-1,1-2,0-1,0-3,2-2,1-0,0-1,1-0,0-1,2-2,0-2,2-1
2012,19,New Orleans Hornets,0-1,1-0,1-1,0-2,1-0,1-2,2-2,0-1,2-1,1-2,0-2,1-2,0-3,1-3,0-1,1-0,2-1,1-0,,1-0,0-3,1-0,0-1,1-3,0-4,1-3,0-4,0-1,2-1,0-1
2012,20,New York Knicks,2-1,2-2,3-1,1-3,2-2,1-1,0-1,3-0,0-1,0-1,2-1,1-0,1-1,0-1,0-3,2-2,1-0,2-1,0-1,,0-1,2-1,2-1,0-1,1-0,2-0,0-1,2-2,1-0,3-0
2012,21,Oklahoma City Thunder,0-1,2-0,1-0,1-0,0-1,3-1,2-1,1-0,3-0,2-2,0-1,1-3,2-1,3-1,1-1,1-0,3-0,1-0,3-0,1-0,,2-0,1-0,3-0,3-1,3-1,1-2,1-0,2-1,0-1
2012,22,Orlando Magic,0-3,0-3,3-1,1-2,3-0,0-1,0-2,1-2,1-0,1-0,3-1,0-1,1-0,0-1,2-2,4-0,1-0,3-0,0-1,1-2,0-2,,3-1,1-0,1-0,1-0,0-2,3-0,0-1,3-1
2012,23,Philadelphia 76ers,3-0,2-1,3-0,1-2,3-0,0-1,0-1,3-1,2-0,0-1,2-2,0-1,1-0,0-1,0-4,2-1,0-1,2-2,1-0,1-2,0-1,1-3,,1-0,0-1,1-0,0-2,2-1,1-1,3-1
2012,24,Phoenix Suns,1-1,1-0,1-0,0-1,1-1,1-3,0-3,1-0,1-2,2-2,1-0,3-1,2-2,2-1,0-1,2-0,2-1,0-1,3-1,1-0,0-3,0-1,0-1,,2-1,3-0,0-4,0-1,2-1,1-0
2012,25,Portland Trail Blazers,1-1,0-1,1-0,1-0,1-0,1-2,2-1,0-1,3-1,0-3,0-1,1-3,1-2,2-1,0-1,0-2,1-2,1-0,4-0,0-1,1-3,0-1,1-0,1-2,,2-2,1-2,1-0,0-4,1-1
2012,26,Sacramento Kings,0-1,1-0,1-0,0-2,0-1,1-2,0-3,0-2,1-3,0-3,1-0,0-3,2-1,1-2,0-1,1-0,2-2,0-1,3-1,0-2,1-3,0-1,0-1,0-3,2-2,,1-2,1-0,2-2,1-0
2012,27,San Antonio Spurs,1-0,1-0,1-0,0-1,2-0,2-2,2-1,1-0,3-0,2-2,1-0,2-1,2-1,4-0,0-1,0-1,1-2,1-0,4-0,1-0,2-1,2-0,2-0,4-0,2-1,2-1,,1-0,3-1,1-0
2012,28,Toronto Raptors,1-3,2-2,1-2,0-3,3-1,0-1,1-1,1-2,1-0,1-1,0-3,0-1,0-1,1-1,0-3,0-3,1-0,2-2,1-0,2-2,0-1,0-3,1-2,1-0,0-1,0-1,0-1,,1-0,2-2
2012,29,Utah Jazz,0-1,0-1,1-0,0-1,2-0,1-3,2-1,1-0,3-1,2-1,0-1,1-2,2-2,2-1,1-0,1-0,2-1,2-0,1-2,0-1,1-2,1-0,1-1,1-2,4-0,2-2,1-3,0-1,,1-0
2012,30,Washington Wizards,0-3,0-4,4-0,1-2,2-1,0-1,0-1,1-2,0-1,0-2,0-3,0-2,1-0,0-1,2-1,1-3,0-1,1-2,1-0,0-3,1-0,1-3,1-3,0-1,1-1,0-1,0-1,2-2,0-1,
-6,Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2011,1,Atlanta Hawks,,1-2,2-2,1-2,3-0,0-2,0-2,3-1,2-0,0-2,3-1,2-0,0-2,2-0,1-3,2-2,2-0,2-2,0-2,2-2,0-2,3-1,2-2,0-2,2-0,2-0,0-2,3-0,1-1,3-1
2011,2,Boston Celtics,2-1,,2-2,2-2,2-1,0-2,1-1,3-1,2-0,0-2,3-1,1-1,1-1,1-1,3-1,3-0,2-0,3-1,1-1,4-0,1-1,2-1,3-1,1-1,2-0,2-0,2-0,3-1,2-0,2-2
2011,3,Charlotte Bobcats,2-2,2-2,,2-2,2-1,0-2,1-1,2-2,1-1,1-1,0-4,0-2,1-1,1-1,0-4,1-2,2-0,3-1,0-2,1-2,0-2,0-4,1-2,2-0,1-1,2-0,0-2,4-0,0-2,2-2
2011,4,Chicago Bulls,2-1,2-2,2-2,,4-0,2-0,1-1,4-0,1-1,2-0,3-1,1-1,1-1,2-0,3-0,4-0,2-0,3-1,2-0,1-2,1-1,3-1,1-2,2-0,1-1,2-0,1-1,3-1,2-0,4-0
2011,5,Cleveland Cavaliers,0-3,1-2,1-2,0-4,,0-2,0-2,2-2,0-2,0-2,0-4,1-1,1-1,1-1,1-3,1-3,0-2,1-3,0-2,3-1,0-2,0-4,2-2,0-2,0-2,1-1,0-2,1-2,0-2,2-2
2011,6,Dallas Mavericks,2-0,2-0,2-0,0-2,2-0,,1-3,1-1,3-1,4-0,1-1,4-0,1-2,1-3,2-0,0-2,3-0,2-0,2-2,2-0,2-1,1-1,2-0,4-0,2-2,3-0,1-3,1-1,4-0,2-0
2011,7,Denver Nuggets,2-0,1-1,1-1,1-1,2-0,3-1,,2-0,2-1,2-2,1-1,2-2,2-1,2-1,1-1,2-0,4-0,1-1,1-2,1-1,1-3,1-1,0-2,3-1,2-2,3-1,1-3,2-0,2-2,2-0
2011,8,Detroit Pistons,1-3,1-3,2-2,0-4,2-2,1-1,0-2,,1-1,0-2,2-2,1-1,0-2,0-2,0-4,3-1,0-2,2-2,1-1,1-2,0-2,1-2,2-1,1-1,0-2,2-0,0-2,3-1,1-1,2-1
2011,9,Golden State Warriors,0-2,0-2,1-1,1-1,2-0,1-3,1-2,1-1,,1-3,1-1,2-2,1-3,1-2,0-2,1-1,3-1,1-1,2-1,1-1,1-2,1-1,1-1,0-4,3-1,2-2,0-4,2-0,3-1,2-0
2011,10,Houston Rockets,2-0,2-0,1-1,0-2,2-0,0-4,2-2,2-0,3-1,,2-0,3-1,1-2,3-1,0-2,1-1,3-1,2-0,1-3,2-0,1-3,0-2,0-2,1-2,1-2,3-1,1-3,1-1,2-1,1-1
2011,11,Indiana Pacers,1-3,1-3,4-0,1-3,4-0,1-1,1-1,2-2,1-1,0-2,,1-1,1-1,0-2,1-2,2-2,1-1,3-0,1-1,2-2,0-2,0-3,2-2,0-2,1-1,1-1,0-2,2-1,0-2,3-1
2011,12,Los Angeles Clippers,0-2,1-1,2-0,1-1,1-1,0-4,2-2,1-1,2-2,1-3,1-1,,1-3,2-2,1-1,1-1,3-1,0-2,1-2,1-1,2-2,0-2,0-2,1-3,0-3,3-1,1-2,1-1,0-3,2-0
2011,13,Los Angeles Lakers,2-0,1-1,1-1,1-1,1-1,2-1,1-2,2-0,3-1,2-1,1-1,3-1,,2-2,0-2,1-1,4-0,2-0,4-0,2-0,2-1,1-1,2-0,3-1,3-1,3-1,2-2,2-0,2-2,2-0
2011,14,Memphis Grizzlies,0-2,1-1,1-1,0-2,1-1,3-1,1-2,2-0,2-1,1-3,2-0,2-2,2-2,,1-1,2-0,4-0,0-2,2-2,0-2,3-1,1-1,2-0,2-1,1-2,3-1,2-2,2-0,2-2,1-1
2011,15,Miami Heat,3-1,1-3,4-0,0-3,3-1,0-2,1-1,4-0,2-0,2-0,2-1,1-1,2-0,1-1,,3-1,2-0,3-0,1-1,2-2,1-1,2-2,3-0,2-0,1-1,2-0,1-1,4-0,1-1,4-0
2011,16,Milwaukee Bucks,2-2,0-3,2-1,0-4,3-1,2-0,0-2,1-3,1-1,1-1,2-2,1-1,1-1,0-2,1-3,,1-1,3-0,0-2,3-1,1-1,1-3,2-2,0-2,0-2,1-1,0-2,4-0,0-2,2-1
2011,17,Minnesota Timberwolves,0-2,0-2,0-2,0-2,2-0,0-3,0-4,2-0,1-3,1-3,1-1,1-3,0-4,0-4,0-2,1-1,,1-1,2-1,1-1,0-4,0-2,0-2,0-3,0-4,1-2,0-4,1-1,1-3,1-1
2011,18,New Jersey Nets,2-2,1-3,1-3,1-3,3-1,0-2,1-1,2-2,1-1,0-2,0-3,2-0,0-2,2-0,0-3,0-3,1-1,,1-1,0-4,0-2,0-4,0-4,0-2,1-1,1-1,0-2,2-2,1-1,1-2
2011,19,New Orleans Hornets,2-0,1-1,2-0,0-2,2-0,2-2,2-1,1-1,1-2,3-1,1-1,2-1,0-4,2-2,1-1,2-0,1-2,1-1,,0-2,1-3,2-0,1-1,3-1,3-1,3-1,2-2,1-1,2-2,2-0
2011,20,New York Knicks,2-2,0-4,2-1,2-1,1-3,0-2,1-1,2-1,1-1,0-2,2-2,1-1,0-2,2-0,2-2,1-3,1-1,4-0,2-0,,1-1,1-3,2-2,1-1,1-1,1-1,1-1,4-0,1-1,3-0
2011,21,Oklahoma City Thunder,2-0,1-1,2-0,1-1,2-0,1-2,3-1,2-0,2-1,3-1,2-0,2-2,1-2,1-3,1-1,1-1,4-0,2-0,3-1,1-1,,1-1,2-0,3-1,3-1,4-0,0-3,0-2,3-1,2-0
2011,22,Orlando Magic,1-3,1-2,4-0,1-3,4-0,1-1,1-1,2-1,1-1,2-0,3-0,2-0,1-1,1-1,2-2,3-1,2-0,4-0,0-2,3-1,1-1,,3-1,2-0,0-2,1-1,1-1,1-2,0-2,4-0
2011,23,Philadelphia 76ers,2-2,1-3,2-1,2-1,2-2,0-2,2-0,1-2,1-1,2-0,2-2,2-0,0-2,0-2,0-3,2-2,2-0,4-0,1-1,2-2,0-2,1-3,,2-0,1-1,1-1,1-1,2-2,1-1,2-2
2011,24,Phoenix Suns,2-0,1-1,0-2,0-2,2-0,0-4,1-3,1-1,4-0,2-1,2-0,3-1,1-3,1-2,0-2,2-0,3-0,2-0,1-3,1-1,1-3,0-2,0-2,,1-3,1-3,1-3,2-0,3-0,2-0
2011,25,Portland Trail Blazers,0-2,0-2,1-1,1-1,2-0,2-2,2-2,2-0,1-3,2-1,1-1,3-0,1-3,2-1,1-1,2-0,4-0,1-1,1-3,1-1,1-3,2-0,1-1,3-1,,2-1,3-1,2-0,3-1,1-1
2011,26,Sacramento Kings,0-2,0-2,0-2,0-2,1-1,0-3,1-3,0-2,2-2,1-3,1-1,1-3,1-3,1-3,0-2,1-1,2-1,1-1,1-3,1-1,0-4,1-1,1-1,3-1,1-2,,0-3,1-1,1-3,1-1
2011,27,San Antonio Spurs,2-0,0-2,2-0,1-1,2-0,3-1,3-1,2-0,4-0,3-1,2-0,2-1,2-2,2-2,1-1,2-0,4-0,2-0,2-2,1-1,3-0,1-1,1-1,3-1,1-3,3-0,,2-0,3-0,2-0
2011,28,Toronto Raptors,0-3,1-3,0-4,1-3,2-1,1-1,0-2,1-3,0-2,1-1,1-2,1-1,0-2,0-2,0-4,0-4,1-1,2-2,1-1,0-4,2-0,2-1,2-2,0-2,0-2,1-1,0-2,,0-2,2-2
2011,29,Utah Jazz,1-1,0-2,2-0,0-2,2-0,0-4,2-2,1-1,1-3,1-2,2-0,3-0,2-2,2-2,1-1,2-0,3-1,1-1,2-2,1-1,1-3,2-0,1-1,0-3,1-3,3-1,0-3,2-0,,0-2
2011,30,Washington Wizards,1-3,2-2,2-2,0-4,2-2,0-2,0-2,1-2,0-2,1-1,1-3,0-2,0-2,1-1,0-4,1-2,1-1,2-1,0-2,0-3,0-2,0-4,2-2,0-2,1-1,1-1,0-2,2-2,2-0,
-7,Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2010,1,Atlanta Hawks,,4-0,2-2,3-1,1-3,1-1,1-1,2-2,1-1,2-0,3-0,2-0,1-1,2-0,1-3,2-1,2-0,3-0,1-1,1-3,0-2,1-3,2-1,1-1,2-0,2-0,1-1,3-1,2-0,4-0
2010,2,Boston Celtics,0-4,,3-0,2-2,2-2,1-1,1-1,2-1,1-1,1-1,2-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,1-1,3-1,1-1,1-3,3-1,0-2,2-0,2-0,1-1,4-0,1-1,3-1
2010,3,Charlotte Bobcats,2-2,0-3,,1-3,3-1,0-2,1-1,2-1,2-0,1-1,1-2,1-1,1-1,2-0,3-1,2-2,2-0,2-2,1-1,2-2,1-1,1-3,3-1,2-0,0-2,2-0,1-1,1-2,0-2,4-0
2010,4,Chicago Bulls,1-3,2-2,3-1,,2-2,0-2,0-2,4-0,1-1,2-0,3-1,0-2,0-2,0-2,1-3,1-3,2-0,1-2,2-0,3-1,1-1,1-2,3-1,1-1,1-1,1-1,2-0,1-2,0-2,2-1
2010,5,Cleveland Cavaliers,3-1,2-2,1-3,2-2,,1-1,0-2,4-0,2-0,1-1,3-1,2-0,2-0,1-1,3-0,3-1,2-0,4-0,2-0,3-0,2-0,2-2,3-0,2-0,2-0,2-0,1-1,3-1,1-1,2-1
2010,6,Dallas Mavericks,1-1,1-1,2-0,2-0,1-1,,2-1,2-0,3-1,2-2,2-0,3-0,2-2,3-1,2-0,2-0,3-1,2-0,2-2,1-1,2-2,1-1,1-1,2-1,1-3,4-0,3-1,1-1,1-2,1-1
2010,7,Denver Nuggets,1-1,1-1,1-1,2-0,2-0,1-2,,1-1,4-0,2-1,2-0,2-1,3-1,3-1,1-1,0-2,3-1,2-0,3-1,1-1,3-1,1-1,1-1,1-3,3-1,1-2,2-2,2-0,3-1,1-1
2010,8,Detroit Pistons,2-2,1-2,1-2,0-4,0-4,0-2,1-1,,1-1,1-1,0-4,0-2,0-2,1-1,1-2,2-2,2-0,2-1,1-1,1-3,0-2,1-3,3-1,0-2,0-2,1-1,1-1,0-4,0-2,4-0
2010,9,Golden State Warriors,1-1,1-1,0-2,1-1,0-2,1-3,0-4,1-1,,0-3,1-1,2-2,0-4,2-2,0-2,0-2,3-0,2-0,1-3,2-0,1-3,0-2,0-2,1-3,2-2,2-2,0-3,2-0,0-3,0-2
2010,10,Houston Rockets,0-2,1-1,1-1,0-2,1-1,2-2,1-2,1-1,3-0,,0-2,2-1,1-3,4-0,0-2,2-0,3-0,2-0,1-3,2-0,3-1,0-2,1-1,0-4,2-2,2-2,2-2,1-1,2-2,2-0
2010,11,Indiana Pacers,0-3,1-2,2-1,1-3,1-3,0-2,0-2,4-0,1-1,2-0,,1-1,0-2,0-2,0-4,0-4,1-1,4-0,0-2,2-2,1-1,1-3,2-1,1-1,0-2,1-1,0-2,2-2,1-1,3-1
2010,12,Los Angeles Clippers,0-2,1-1,1-1,2-0,0-2,0-3,1-2,2-0,2-2,1-2,1-1,,2-2,2-2,1-1,1-1,3-1,1-1,0-4,0-2,1-2,0-2,2-0,0-4,1-3,1-3,0-4,0-2,1-3,2-0
2010,13,Los Angeles Lakers,1-1,1-1,1-1,2-0,0-2,2-2,1-3,2-0,4-0,3-1,2-0,2-2,,2-1,1-1,2-0,3-0,2-0,2-1,2-0,3-1,1-1,2-0,3-1,1-2,4-0,2-2,1-1,3-1,2-0
2010,14,Memphis Grizzlies,0-2,1-1,0-2,2-0,1-1,1-3,1-3,1-1,2-2,0-4,2-0,2-2,1-2,,1-1,0-2,3-1,2-0,2-2,2-0,1-2,1-1,1-1,2-2,2-2,2-1,2-2,2-0,1-2,2-0
2010,15,Miami Heat,3-1,0-3,1-3,3-1,0-3,0-2,1-1,2-1,2-0,2-0,4-0,1-1,1-1,1-1,,1-3,1-1,4-0,1-1,3-0,0-2,2-2,4-0,1-1,1-1,2-0,0-2,2-2,1-1,3-1
2010,16,Milwaukee Bucks,1-2,2-2,2-2,3-1,1-3,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-0,3-1,,2-0,4-0,1-1,3-0,1-1,0-3,2-2,1-1,1-1,1-1,0-2,2-1,1-1,2-2
2010,17,Minnesota Timberwolves,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,0-3,0-3,1-1,1-3,0-3,1-3,1-1,0-2,,2-0,0-4,1-1,0-4,0-2,1-1,0-4,0-4,2-2,0-3,0-2,2-2,1-1
2010,18,New Jersey Nets,0-3,1-3,2-2,2-1,0-4,0-2,0-2,1-2,0-2,0-2,0-4,1-1,0-2,0-2,0-4,0-4,0-2,,1-1,2-2,0-2,0-3,0-4,0-2,0-2,1-1,1-1,0-4,0-2,0-4
2010,19,New Orleans Hornets,1-1,1-1,1-1,0-2,0-2,2-2,1-3,1-1,3-1,3-1,2-0,4-0,1-2,2-2,1-1,1-1,4-0,1-1,,0-2,1-2,1-1,0-2,1-3,1-2,2-1,0-4,0-2,1-3,1-1
2010,20,New York Knicks,3-1,1-3,2-2,1-3,0-3,1-1,1-1,3-1,0-2,0-2,2-2,2-0,0-2,0-2,0-3,0-3,1-1,2-2,2-0,,0-2,0-3,3-1,1-1,1-1,0-2,0-2,0-4,0-2,3-1
2010,21,Oklahoma City Thunder,2-0,1-1,1-1,1-1,0-2,2-2,1-3,2-0,3-1,1-3,1-1,2-1,1-3,2-1,2-0,1-1,4-0,2-0,2-1,2-0,,1-1,2-0,2-1,1-3,3-1,1-3,2-0,3-1,2-0
2010,22,Orlando Magic,3-1,3-1,3-1,2-1,2-2,1-1,1-1,3-1,2-0,2-0,3-1,2-0,1-1,1-1,2-2,3-0,2-0,3-0,1-1,3-0,1-1,,4-0,1-1,1-1,2-0,1-1,3-1,1-1,2-2
2010,23,Philadelphia 76ers,1-2,1-3,1-3,1-3,0-3,1-1,1-1,1-3,2-0,1-1,1-2,0-2,0-2,1-1,0-4,2-2,1-1,4-0,2-0,1-3,0-2,0-4,,0-2,1-1,2-0,1-1,1-3,0-2,0-3
2010,24,Phoenix Suns,1-1,2-0,0-2,1-1,0-2,1-2,3-1,2-0,3-1,4-0,1-1,4-0,1-3,2-2,1-1,1-1,4-0,2-0,3-1,1-1,1-2,1-1,2-0,,1-2,4-0,2-1,2-0,2-2,2-0
2010,25,Portland Trail Blazers,0-2,0-2,2-0,1-1,0-2,3-1,1-3,2-0,2-2,2-2,2-0,3-1,2-1,2-2,1-1,1-1,4-0,2-0,2-1,1-1,3-1,1-1,1-1,2-1,,4-0,3-0,2-0,0-4,1-1
2010,26,Sacramento Kings,0-2,0-2,0-2,1-1,0-2,0-4,2-1,1-1,2-2,2-2,1-1,3-1,0-4,1-2,0-2,1-1,2-2,1-1,1-2,2-0,1-3,0-2,0-2,0-4,0-4,,0-4,1-1,2-1,1-1
2010,27,San Antonio Spurs,1-1,1-1,1-1,0-2,1-1,1-3,2-2,1-1,3-0,2-2,2-0,4-0,2-2,2-2,2-0,2-0,3-0,1-1,4-0,2-0,3-1,1-1,1-1,1-2,0-3,4-0,,1-1,0-4,2-0
2010,28,Toronto Raptors,1-3,0-4,2-1,2-1,1-3,1-1,0-2,4-0,0-2,1-1,2-2,2-0,1-1,0-2,2-2,1-2,2-0,4-0,2-0,4-0,0-2,1-3,3-1,0-2,0-2,1-1,1-1,,0-2,2-1
2010,29,Utah Jazz,0-2,1-1,2-0,2-0,1-1,2-1,1-3,2-0,3-0,2-2,1-1,3-1,1-3,2-1,1-1,1-1,2-2,2-0,3-1,2-0,1-3,1-1,2-0,2-2,4-0,1-2,4-0,2-0,,2-0
2010,30,Washington Wizards,0-4,1-3,0-4,1-2,1-2,1-1,1-1,0-4,2-0,0-2,1-3,0-2,0-2,0-2,1-3,2-2,1-1,4-0,1-1,1-3,0-2,2-2,3-0,0-2,1-1,1-1,0-2,1-2,0-2,
-8,Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2009,1,Atlanta Hawks,,0-4,3-1,3-0,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,1-1,3-1,3-1,2-0,1-3,2-0,1-2,2-0,1-3,1-2,0-2,1-1,2-0,0-2,3-1,1-1,4-0
2009,2,Boston Celtics,4-0,,2-1,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,2-0,3-1,2-1,2-0,4-0,2-0,3-1,2-0,2-2,4-0,2-0,1-1,2-0,1-1,4-0,1-1,3-0
2009,3,Charlotte Bobcats,1-3,1-2,,2-1,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,2-0,1-3,1-3,1-1,1-2,1-1,2-2,1-1,0-4,3-1,1-1,1-1,2-0,0-2,2-2,1-1,3-1
2009,4,Chicago Bulls,0-3,1-2,1-2,,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-1,1-3,3-1,0-2,3-1,2-0,2-1,1-1,1-3,2-2,2-0,0-2,2-0,0-2,1-3,2-0,3-1
2009,5,Cleveland Cavaliers,3-1,2-2,3-0,3-1,,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,2-0,3-1,4-0,2-0,3-0,1-1,4-0,2-0,1-2,3-1,2-0,2-0,2-0,2-0,3-0,2-0,2-2
2009,6,Dallas Mavericks,1-1,0-2,2-0,1-1,0-2,,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-2,2-0,1-1,4-0,1-1,1-3,2-0,2-1,1-1,2-0,3-1,3-0,3-1,2-2,2-0,2-2,2-0
2009,7,Denver Nuggets,1-1,1-1,2-0,1-1,0-2,4-0,,0-2,2-1,1-3,1-1,4-0,1-3,3-0,2-0,1-1,4-0,1-1,2-2,2-0,4-0,1-1,2-0,1-2,2-2,3-1,2-1,2-0,2-2,2-0
2009,8,Detroit Pistons,0-3,1-3,3-1,1-3,1-3,0-2,2-0,,2-0,0-2,2-2,2-0,1-1,1-1,1-3,3-1,1-1,2-2,0-2,2-2,1-1,3-0,1-2,0-2,0-2,2-0,1-1,3-0,0-2,3-1
2009,9,Golden State Warriors,1-1,1-1,1-1,0-2,0-2,1-2,1-2,0-2,,0-4,1-1,3-1,0-4,0-3,0-2,1-1,2-2,2-0,2-2,1-1,2-2,0-2,1-1,1-3,2-1,2-2,0-4,1-1,2-2,1-1
2009,10,Houston Rockets,1-1,1-1,2-0,1-1,1-1,2-2,3-1,2-0,4-0,,0-2,3-1,0-4,2-2,2-0,1-1,4-0,2-0,3-1,1-1,3-0,2-0,0-2,2-1,2-1,3-0,2-2,1-1,2-2,1-1
2009,11,Indiana Pacers,1-3,1-3,2-2,2-2,1-3,0-2,1-1,2-2,1-1,2-0,,1-1,1-1,1-1,2-1,2-2,1-1,2-1,0-2,1-2,2-0,1-3,2-2,1-1,0-2,2-0,0-2,2-2,0-2,2-1
2009,12,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,,0-4,1-2,1-1,1-1,1-2,1-1,0-3,2-0,3-1,0-2,0-2,0-4,1-3,1-3,0-4,0-2,0-3,1-1
2009,13,Los Angeles Lakers,1-1,2-0,0-2,2-0,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,,4-0,1-1,2-0,4-0,2-0,3-1,2-0,3-0,0-2,1-1,3-1,2-2,3-1,2-1,2-0,2-1,2-0
2009,14,Memphis Grizzlies,1-1,0-2,0-2,1-1,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,,1-1,1-1,0-3,0-2,1-3,0-2,1-3,1-1,0-2,1-3,0-4,2-2,0-4,1-1,0-4,2-0
2009,15,Miami Heat,1-3,1-3,3-1,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,1-1,,2-1,1-1,3-1,0-2,2-1,2-0,1-3,2-2,2-0,0-2,2-0,1-1,1-2,2-0,4-0
2009,16,Milwaukee Bucks,1-3,1-2,3-1,1-3,0-4,1-1,1-1,1-3,1-1,1-1,2-2,1-1,0-2,1-1,1-2,,0-2,2-2,0-2,3-1,2-0,1-3,0-3,0-2,0-2,2-0,2-0,2-2,1-1,3-0
2009,17,Minnesota Timberwolves,0-2,0-2,1-1,2-0,0-2,0-4,0-4,1-1,2-2,0-4,1-1,2-1,0-4,3-0,1-1,2-0,,1-1,1-2,1-1,2-2,0-2,1-1,1-2,0-4,1-3,0-4,0-2,1-3,0-2
2009,18,New Jersey Nets,3-1,0-4,2-1,1-3,0-3,1-1,1-1,2-2,0-2,0-2,1-2,1-1,0-2,2-0,1-3,2-2,1-1,,0-2,2-2,1-1,1-2,4-0,1-1,0-2,2-0,0-2,2-2,1-1,2-2
2009,19,New Orleans Hornets,0-2,0-2,1-1,0-2,1-1,3-1,2-2,2-0,2-2,1-3,2-0,3-0,1-3,3-1,2-0,2-0,2-1,2-0,,0-2,4-0,1-1,2-0,2-1,2-2,3-1,2-2,2-0,0-3,2-0
2009,20,New York Knicks,2-1,1-3,2-2,1-2,0-4,0-2,0-2,2-2,1-1,1-1,2-1,0-2,0-2,2-0,1-2,1-3,1-1,2-2,2-0,,1-1,1-3,0-4,1-1,0-2,1-1,1-1,2-2,1-1,3-1
2009,21,Oklahoma City Thunder,0-2,0-2,1-1,1-1,0-2,1-2,0-4,1-1,2-2,0-3,0-2,1-3,0-3,3-1,0-2,0-2,2-2,1-1,0-4,1-1,,0-2,1-1,0-4,1-3,2-1,2-2,1-1,1-3,1-1
2009,22,Orlando Magic,3-1,2-2,4-0,3-1,2-1,1-1,1-1,0-3,2-0,0-2,3-1,2-0,2-0,1-1,3-1,3-1,2-0,2-1,1-1,3-1,2-0,,3-0,1-1,1-1,2-0,2-0,2-2,2-0,4-0
2009,23,Philadelphia 76ers,2-1,0-4,1-3,2-2,1-3,0-2,0-2,2-1,1-1,2-0,2-2,2-0,1-1,2-0,2-2,3-0,1-1,0-4,0-2,4-0,1-1,0-3,,1-1,2-0,2-0,1-1,2-2,0-2,4-0
