Year,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2017,2,Boston Celtics,1-2,,4-0,2-2,4-0,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,2-0,4-0,2-1,2-0,1-1,3-1,0-2,3-0,3-1,1-1,1-1,1-1,0-2,1-3,2-0,2-2
2017,3,Brooklyn Nets,2-2,0-4,,1-3,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,1-1,0-3,0-4,1-1,1-1,2-2,0-2,1-2,1-3,2-0,0-2,1-1,0-2,0-4,0-2,0-4
2017,4,Chicago Bulls,1-3,2-2,3-1,,2-1,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,1-1,2-1,1-3,0-2,2-0,0-3,1-1,3-1,3-1,1-1,1-1,2-0,1-1,2-1,2-0,1-3
2017,5,Charlotte Hornets,3-1,0-4,3-1,1-2,,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,1-1,2-2,1-2,1-1,0-2,1-2,2-0,4-0,1-2,1-1,1-1,1-1,0-2,2-2,1-1,1-3
2017,6,Cleveland Cavaliers,1-3,3-1,3-0,0-4,4-0,,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-1,1-3,3-1,2-0,1-1,4-0,1-1,3-0,3-0,2-0,1-1,1-1,0-2,3-1,1-1,2-1
2017,7,Dallas Mavericks,0-2,0-2,2-0,2-0,0-2,1-1,,1-3,0-2,0-3,0-4,1-1,2-2,4-0,2-2,1-1,2-0,1-2,2-2,1-1,1-2,1-1,1-1,1-3,2-2,1-2,1-3,0-2,1-3,2-0
2017,8,Denver Nuggets,0-2,2-0,1-1,2-0,0-2,1-1,3-1,,0-2,1-2,0-4,2-0,3-1,2-1,0-3,1-1,2-0,2-2,3-1,2-0,1-3,2-0,1-1,4-0,1-3,2-2,0-3,0-2,2-2,0-2
2017,9,Detroit Pistons,2-1,1-3,1-2,2-2,3-1,2-2,2-0,2-0,,0-2,1-1,0-4,1-1,2-0,1-1,2-2,1-3,2-0,1-1,2-2,1-1,1-3,2-1,1-1,2-0,0-2,0-2,1-3,0-2,1-2
2017,10,Golden State Warriors,2-0,1-1,2-0,1-1,2-0,1-1,3-0,2-1,2-0,,3-1,2-0,4-0,3-1,2-2,1-1,2-0,3-1,4-0,2-0,4-0,2-0,2-0,4-0,4-0,3-1,1-2,2-0,2-1,1-1
2017,11,Houston Rockets,0-2,1-1,2-0,2-0,2-0,1-1,4-0,4-0,1-1,1-3,,0-2,2-1,2-1,2-2,0-2,1-1,3-1,3-1,2-0,3-1,2-0,2-0,4-0,2-1,4-0,1-3,1-1,1-2,2-0
2017,12,Indiana Pacers,2-1,0-3,3-1,2-2,2-2,1-3,1-1,0-2,4-0,0-2,2-0,,2-0,1-1,1-1,1-2,1-3,1-1,1-1,1-3,2-0,4-0,3-1,1-1,1-1,2-0,0-2,1-2,1-1,1-3
2017,13,Los Angeles Clippers,2-0,1-1,1-1,2-0,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,,3-1,3-1,2-0,0-2,1-2,2-1,2-0,2-2,2-0,1-1,4-0,3-0,3-1,3-1,1-1,3-1,1-1
2017,14,Los Angeles Lakers,2-0,0-2,1-1,1-1,0-2,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,,2-1,1-1,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-2,0-4,2-2,1-3,0-2,0-4,0-2
2017,15,Memphis Grizzlies,1-1,0-2,1-1,1-1,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,,1-1,1-1,3-1,2-2,1-1,1-3,1-1,2-0,3-0,1-2,2-2,2-2,1-1,3-1,1-1
2017,16,Miami Heat,2-2,0-4,3-0,1-2,2-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,1-1,,3-1,2-0,1-1,1-2,0-2,1-3,2-2,1-1,0-2,2-0,0-2,1-3,1-1,4-0
2017,17,Milwaukee Bucks,1-3,1-2,4-0,3-1,2-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-1,1-3,,1-1,1-1,2-1,1-1,2-1,2-2,2-0,2-0,2-0,1-1,1-3,0-2,1-3
2017,18,Minnesota Timberwolves,2-0,0-2,1-1,2-0,1-1,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,1-3,0-2,1-1,,0-3,0-2,1-3,2-0,1-1,3-0,1-3,1-3,0-4,1-1,1-3,1-1
2017,19,New Orleans Pelicans,1-1,1-1,1-1,0-2,2-0,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,2-2,1-1,1-1,3-0,,2-0,0-4,1-1,1-1,3-1,3-1,1-2,1-3,0-2,0-3,0-2
2017,20,New York Knicks,1-3,1-3,2-2,3-0,2-1,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,1-1,2-1,1-2,2-0,0-2,,0-2,3-1,2-2,0-2,1-1,2-0,1-1,0-4,0-2,0-4
2017,21,Oklahoma City Thunder,1-1,2-0,2-0,1-1,0-2,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,3-1,2-0,1-1,3-1,4-0,2-0,,1-1,2-0,2-2,1-3,2-1,1-2,1-1,3-1,1-1
2017,22,Orlando Magic,2-2,0-3,2-1,1-3,0-4,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,1-1,3-1,1-2,0-2,1-1,1-3,1-1,,3-1,1-1,1-1,1-1,1-1,2-2,0-2,2-2
2017,23,Philadelphia 76ers,0-4,1-3,3-1,1-3,2-1,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,0-2,2-2,2-2,1-1,1-1,2-2,0-2,1-3,,1-1,1-1,1-1,0-2,1-3,0-2,2-1
2017,24,Phoenix Suns,1-1,1-1,0-2,1-1,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,0-3,1-1,0-2,0-3,1-3,2-0,2-2,1-1,1-1,,1-3,1-3,1-2,2-0,0-3,0-2
